epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,505.002,1.89687,1.05982,1.53081,0.63828,0.78802,0.73019,0.31965,1.91346,1.05207,1.64773,0.0003169,0.0003169,0.0003169
71,512.481,1.88783,1.07559,1.52022,0.63521,0.81589,0.73599,0.3217,1.90802,1.06316,1.6403,0.000307,0.000307,0.000307
72,519.614,1.90612,1.08284,1.4896,0.66966,0.81487,0.74901,0.31946,1.85726,1.02953,1.61513,0.0002971,0.0002971,0.0002971
73,526.405,1.93156,1.07286,1.5396,0.73293,0.77288,0.76472,0.31627,1.85159,1.01269,1.60576,0.0002872,0.0002872,0.0002872
74,533.405,1.88925,1.06182,1.49994,0.64501,0.67512,0.70694,0.30672,1.91025,1.04073,1.63129,0.0002773,0.0002773,0.0002773
75,540.212,1.8542,1.02544,1.47962,0.57494,0.73977,0.72385,0.30288,1.88977,1.0349,1.61786,0.0002674,0.0002674,0.0002674
76,547.174,1.83462,1.03531,1.55085,0.68117,0.79633,0.73593,0.31914,1.85038,1.00489,1.59871,0.0002575,0.0002575,0.0002575
77,554.062,1.83149,1.01943,1.51774,0.69469,0.76928,0.71092,0.30829,1.8719,0.99404,1.60291,0.0002476,0.0002476,0.0002476
78,561.415,1.9312,1.04646,1.48357,0.7007,0.73621,0.70666,0.31838,1.83428,0.98427,1.59013,0.0002377,0.0002377,0.0002377
79,568.549,1.85655,1.02276,1.49925,0.67705,0.79404,0.73637,0.32183,1.86232,1.01016,1.60825,0.0002278,0.0002278,0.0002278
80,575.857,1.83909,1.00871,1.48428,0.66417,0.76205,0.70805,0.33437,1.90222,1.03328,1.62822,0.0002179,0.0002179,0.0002179
81,582.936,1.77533,1.00778,1.41428,0.68159,0.77037,0.72337,0.33335,1.87289,1.03336,1.61183,0.000208,0.000208,0.000208
82,589.938,1.82184,1.00037,1.48602,0.64901,0.77539,0.71494,0.31611,1.83149,0.99678,1.58935,0.0001981,0.0001981,0.0001981
83,596.843,1.83019,1.01873,1.49777,0.63554,0.77671,0.73911,0.32386,1.83485,0.97784,1.58309,0.0001882,0.0001882,0.0001882
84,603.709,1.88421,1.03316,1.47405,0.63853,0.77258,0.73865,0.30273,1.87099,0.97951,1.58521,0.0001783,0.0001783,0.0001783
